SKU,Thickness,Dimension,Width in Inches,Length in Inches,Width in mm,Length in mm,Weight (kg),is_round
MRC-MR-0154,1mm,37.2 x 54.75 Inch,37.2,54.75,945,1391,2.701,
MRC-MR-0155,1mm,37.2 x 55.75 Inch,37.2,55.75,945,1416,2.732,
MRC-MR-0156,1mm,37.2 x 56.75 Inch,37.2,56.75,945,1441,2.763,
MRC-MR-0157,1mm,37.2 x 57.75 Inch,37.2,57.75,945,1467,2.794,
MRC-MR-0158,1mm,37.2 x 58.75 Inch,37.2,58.75,945,1492,2.825,
MRC-MR-0159,1mm,37.2 x 59.75 Inch,37.2,59.75,945,1518,2.506,
MRC-MR-0160,1mm,37.2 x 60.75 Inch,37.2,60.75,945,1543,2.537,
MRC-MR-0161,1mm,38.2 x 45.7 Inch,38.2,45.7,970,1161,2.109,
MRC-MR-0162,1mm,38.2 x 46.7 Inch,38.2,46.7,970,1186,2.141,
MRC-MR-0163,1mm,38.2 x 47.7 Inch,38.2,47.7,970,1212,2.173,
MRC-MR-0164,1mm,38.2 x 48.7 Inch,38.2,48.7,970,1237,2.555,
MRC-MR-0165,1mm,38.2 x 49.7 Inch,38.2,49.7,970,1262,2.587,
MRC-MR-0166,1mm,38.2 x 50.7 Inch,38.2,50.7,970,1288,2.619,
MRC-MR-0167,1mm,38.2 x 51.75 Inch,38.2,51.75,970,1314,2.65,
MRC-MR-0168,1mm,38.2 x 52.75 Inch,38.2,52.75,970,1340,2.682,
MRC-MR-0169,1mm,38.2x 53.75 Inch,38.2,53.75,970,1365,2.714,
MRC-MR-0170,1mm,38.2 x 54.75 Inch,38.2,54.75,970,1391,2.746,
MRC-MR-0171,1mm,38.2 x 55.75 Inch,38.2,55.75,970,1416,2.778,
MRC-MR-0172,1mm,38.2 x 56.75 Inch,38.2,56.75,970,1441,2.81,
MRC-MR-0173,1mm,38.2 x 57.75 Inch,38.2,57.75,970,1467,2.842,
MRC-MR-0174,1mm,38.2 x 58.75 Inch,38.2,58.75,970,1492,2.524,
MRC-MR-0175,1mm,38.2 x 59.75 Inch,38.2,59.75,970,1518,2.555,
MRC-MR-0176,1mm,38.2 x 60.75 Inch,38.2,60.75,970,1543,2.587,
MRC-MR-0177,1mm,38.2 x 63.75 Inch,38.2,63.75,970,1619,2.683,
MRC-MR-0178,1mm,39.2 x 45.7 Inch,39.2,45.7,996,1161,2.147,
MRC-MR-0179,1mm,39.2 x 46.7 Inch,39.2,46.7,996,1186,2.18,
MRC-MR-0180,1mm,39.2 x 47.7 Inch,39.2,47.7,996,1212,2.562,
MRC-MR-0181,1mm,39.2 x 48.7 Inch,39.2,48.7,996,1237,2.595,
MRC-MR-0182,1mm,39.2 x 49.7 Inch,39.2,49.7,996,1262,2.628,
MRC-MR-0183,1mm,39.2 x 50.7 Inch,39.2,50.7,996,1288,2.66,
MRC-MR-0184,1mm,39.2 x 51.75 Inch,39.2,51.75,996,1314,2.693,
MRC-MR-0185,1mm,39.2 x 52.75 Inch,39.2,52.75,996,1340,2.726,
MRC-MR-0186,1mm,39.2 x 53.75 Inch,39.2,53.75,996,1365,2.759,
MRC-MR-0187,1mm,39.2 x 54.75 Inch,39.2,54.75,996,1391,2.791,
MRC-MR-0188,1mm,39.2 x 55.75 Inch,39.2,55.75,996,1416,2.824,
