SKU,Thickness,Dimension,Width in Inches,Length in Inches,Width in mm,Length in mm,Weight (kg),is_round
MRC-MR-0905,3mm,36.2 x 50.7 Inch,36.2,50.7,919,1288,5.554,
MRC-MR-0906,3mm,36.2 x 51.7 Inch,36.2,51.7,919,1313,5.645,
MRC-MR-0907,3mm,36.2 x 52.7 Inch,36.2,52.7,919,1339,5.735,
MRC-MR-0908,3mm,36.2 x 53.7 Inch,36.2,53.7,919,1364,5.826,
MRC-MR-0909,3mm,36.2 x 54.7 Inch,36.2,54.7,919,1389,5.566,
MRC-MR-0910,3mm,36.2 x 55.7 Inch,36.2,55.7,919,1415,5.657,
MRC-MR-0911,3mm,36.2 x 56.7 Inch,36.2,56.7,919,1440,5.748,
MRC-MR-0912,3mm,36.2 x 57.7 Inch,36.2,57.7,919,1466,5.838,
MRC-MR-0913,3mm,36.2 x 58.7 Inch,36.2,58.7,919,1491,5.929,
MRC-MR-0914,3mm,36.2 x 59.7 Inch,36.2,59.7,919,1516,6.019,
MRC-MR-0915,3mm,36.2 x 60.7 Inch,36.2,60.7,919,1542,6.11,
MRC-MR-0916,3mm,36.2 x 66.8 Inch,36.2,66.8,919,1697,6.653,
MRC-MR-0917,3mm,36.2 x 84.8 Inch,36.2,84.8,919,2154,8.634,
MRC-MR-0918,3mm,37.2 x 45.7 Inch,37.2,45.7,945,1161,4.864,
MRC-MR-0919,3mm,37.2 x 46.7 Inch,37.2,46.7,945,1186,4.957,
MRC-MR-0920,3mm,37.2 x 47.7 Inch,37.2,47.7,945,1212,5.051,
MRC-MR-0921,3mm,37.2 x 48.7 Inch,37.2,48.7,945,1237,5.144,
MRC-MR-0922,3mm,37.2 x 49.7 Inch,37.2,49.7,945,1262,5.587,
MRC-MR-0923,3mm,37.2 x 50.7 Inch,37.2,50.7,945,1288,5.68,
MRC-MR-0924,3mm,37.2 x 51.7 Inch,37.2,51.7,945,1313,5.773,
MRC-MR-0925,3mm,37.2 x 52.7 Inch,37.2,52.7,945,1339,5.516,
MRC-MR-0926,3mm,37.2 x 53.7 Inch,37.2,53.7,945,1364,5.609,
MRC-MR-0927,3mm,37.2 x 54.7 Inch,37.2,54.7,945,1389,5.702,
MRC-MR-0928,3mm,37.2 x 55.7 Inch,37.2,55.7,945,1415,5.795,
MRC-MR-0929,3mm,37.2 x 56.7 Inch,37.2,56.7,945,1440,5.888,
MRC-MR-0930,3mm,37.2 x 57.7 Inch,37.2,57.7,945,1466,5.982,
MRC-MR-0931,3mm,37.2 x 58.7 Inch,37.2,58.7,945,1491,6.075,
MRC-MR-0932,3mm,37.2 x 59.7 Inch,37.2,59.7,945,1516,6.168,
MRC-MR-0933,3mm,37.2 x 60.7 Inch,37.2,60.7,945,1542,6.611,
MRC-MR-0934,3mm,38.2x 45.7 Inch,38.2,45.7,970,1161,4.978,
MRC-MR-0935,3mm,38.2 x 46.7 Inch,38.2,46.7,970,1186,5.073,
MRC-MR-0936,3mm,38.2 x 47.7 Inch,38.2,47.7,970,1212,5.169,
MRC-MR-0937,3mm,38.2 x 48.7 Inch,38.2,48.7,970,1237,5.614,
MRC-MR-0938,3mm,38.2 x 49.7 Inch,38.2,49.7,970,1262,5.71,
MRC-MR-0939,3mm,38.2 x 50.7 Inch,38.2,50.7,970,1288,5.806,
MRC-MR-0940,3mm,38.2 x 51.7 Inch,38.2,51.7,970,1313,5.551,
MRC-MR-0941,3mm,38.2 x 52.7 Inch,38.2,52.7,970,1339,5.647,
MRC-MR-0942,3mm,38.2 x 53.7 Inch,38.2,53.7,970,1364,5.742,
MRC-MR-0943,3mm,38.2 x 54.7 Inch,38.2,54.7,970,1389,5.838,
MRC-MR-0944,3mm,38.2 x 55.7 Inch,38.2,55.7,970,1415,5.934,
MRC-MR-0945,3mm,38.2 x 56.7 Inch,38.2,56.7,970,1440,6.029,
MRC-MR-0946,3mm,38.2 x 57.7 Inch,38.2,57.7,970,1466,6.125,
MRC-MR-0947,3mm,38.2 x 58.7 Inch,38.2,58.7,970,1491,6.571,
MRC-MR-0948,3mm,38.2 x 59.7 Inch,38.2,59.7,970,1516,6.666,
MRC-MR-0949,3mm,38.2 x 60.7 Inch,38.2,60.7,970,1542,6.762,
MRC-MR-0950,3mm,38.2 x 63.8 Inch,38.2,63.8,970,1621,6.699,
MRC-MR-0951,3mm,39.2 x 45.7 Inch,39.2,45.7,996,1161,5.091,
MRC-MR-0952,3mm,39.2 x 46.7 Inch,39.2,46.7,996,1186,5.189,
MRC-MR-0953,3mm,39.2 x 47.7 Inch,39.2,47.7,996,1212,5.637,
MRC-MR-0954,3mm,39.2 x 48.7 Inch,39.2,48.7,996,1237,5.735,
MRC-MR-0955,3mm,39.2 x 49.7 Inch,39.2,49.7,996,1262,5.833,
MRC-MR-0956,3mm,39.2 x 50.7 Inch,39.2,50.7,996,1288,5.581,
MRC-MR-0957,3mm,39.2 x 51.7 Inch,39.2,51.7,996,1313,5.68,
MRC-MR-0958,3mm,39.2 x 52.7 Inch,39.2,52.7,996,1339,5.778,
MRC-MR-0959,3mm,39.2 x 53.7 Inch,39.2,53.7,996,1364,5.876,
MRC-MR-0960,3mm,39.2 x 54.7 Inch,39.2,54.7,996,1389,5.974,
MRC-MR-0961,3mm,39.2 x 55.7 Inch,39.2,55.7,996,1415,6.072,
MRC-MR-0962,3mm,39.2 x 56.7 Inch,39.2,56.7,996,1440,6.17,
MRC-MR-0963,3mm,39.2 x 57.7 Inch,39.2,57.7,996,1466,6.618,
MRC-MR-0964,3mm,39.2 x 58.7 Inch,39.2,58.7,996,1491,6.716,
MRC-MR-0965,3mm,39.2 x 59.7 Inch,39.2,59.7,996,1516,6.815,
MRC-MR-0966,3mm,39.2 x 60.7 Inch,39.2,60.7,996,1542,6.563,
MRC-MR-0967,3mm,40.5 x 40.5 Inch,40.5,40.5,1029,1029,4.701,
MRC-MR-0968,3mm,40.2 x 45.7 Inch,40.2,45.7,1021,1161,5.554,
MRC-MR-0969,3mm,40.2 x 46.7 Inch,40.2,46.7,1021,1186,5.655,
MRC-MR-0970,3mm,40.2 x 47.7 Inch,40.2,47.7,1021,1212,5.755,
MRC-MR-0971,3mm,40.2 x 48.7 Inch,40.2,48.7,1021,1237,5.506,
MRC-MR-0972,3mm,40.2 x 49.7 Inch,40.2,49.7,1021,1262,5.607,
MRC-MR-0973,3mm,40.2 x 50.7 Inch,40.2,50.7,1021,1288,5.707,
MRC-MR-0974,3mm,40.2 x 51.7 Inch,40.2,51.7,1021,1313,5.808,
MRC-MR-0975,3mm,40.2 x 52.7 Inch,40.2,52.7,1021,1339,5.909,
MRC-MR-0976,3mm,40.2 x 53.7 Inch,40.2,53.7,1021,1364,6.009,
MRC-MR-0977,3mm,40.2 x 54.7 Inch,40.2,54.7,1021,1389,6.11,
MRC-MR-0978,3mm,40.2 x 55.7 Inch,40.2,55.7,1021,1415,6.56,
MRC-MR-0979,3mm,40.2 x 56.7 Inch,40.2,56.7,1021,1440,6.661,
MRC-MR-0980,3mm,40.2 x 57.7 Inch,40.2,57.7,1021,1466,6.762,
MRC-MR-0981,3mm,40.2 x 58.7 Inch,40.2,58.7,1021,1491,6.512,
MRC-MR-0982,3mm,40.2 x 59.7 Inch,40.2,59.7,1021,1516,6.613,
MRC-MR-0983,3mm,40.2 x 60.7 Inch,40.2,60.7,1021,1542,6.714,
MRC-MR-0984,3mm,40.2x 65.8 Inch,40.2,65.8,1021,1671,7.567,
MRC-MR-0985,3mm,41.2 x 45.7 Inch,41.2,45.7,1046,1161,5.667,
MRC-MR-0986,3mm,41.2 x 46.7 Inch,41.2,46.7,1046,1186,5.77,
MRC-MR-0987,3mm,41.2 x 47.7 Inch,41.2,47.7,1046,1212,5.524,
MRC-MR-0988,3mm,41.2 x 48.7 Inch,41.2,48.7,1046,1237,5.627,
MRC-MR-0989,3mm,41.2 x 49.7 Inch,41.2,49.7,1046,1262,5.73,
MRC-MR-0990,3mm,41.2 x 50.7 Inch,41.2,50.7,1046,1288,5.833,
MRC-MR-0991,3mm,41.2 x 51.7 Inch,41.2,51.7,1046,1313,5.936,
MRC-MR-0992,3mm,41.2 x 52.7 Inch,41.2,52.7,1046,1339,6.039,
MRC-MR-0993,3mm,41.2 x 53.7 Inch,41.2,53.7,1046,1364,6.143,
MRC-MR-0994,3mm,41.2 x 54.7 Inch,41.2,54.7,1046,1389,6.596,
MRC-MR-0995,3mm,41.2 x 55.7 Inch,41.2,55.7,1046,1415,6.699,
MRC-MR-0996,3mm,41.2 x 56.7 Inch,41.2,56.7,1046,1440,6.802,
MRC-MR-0997,3mm,41.2 x 57.7 Inch,41.2,57.7,1046,1466,6.555,
MRC-MR-0998,3mm,41.2 x 58.7 Inch,41.2,58.7,1046,1491,6.658,
MRC-MR-0999,3mm,41.2 x 59.7 Inch,41.2,59.7,1046,1516,6.762,
MRC-MR-1000,3mm,41.2 x 60.7 Inch,41.2,60.7,1046,1542,6.865,
MRC-MR-1001,3mm,41.2 x 65.8 Inch,41.2,65.8,1046,1671,7.73,
MRC-MR-1002,3mm,42 Inch Round Dia,42.0,42.0,1067,1067,,yes
MRC-MR-1003,3mm,42.2 x 45.7 Inch,42.2,45.7,1072,1161,5.78,
MRC-MR-1004,3mm,42.2 x 46.7 Inch,42.2,46.7,1072,1186,5.536,
MRC-MR-1005,3mm,42.2 x 47.7 Inch,42.2,47.7,1072,1212,5.642,
MRC-MR-1006,3mm,42.7 x 48.7 Inch,42.7,48.7,1085,1237,5.748,
MRC-MR-1007,3mm,42.2 x 49.7 Inch,42.2,49.7,1072,1262,5.853,
MRC-MR-1008,3mm,42.2 x 50.7 Inch,42.2,50.7,1072,1288,5.959,
MRC-MR-1009,3mm,42.2 x 51.7 Inch,42.2,51.7,1072,1313,6.065,
MRC-MR-1010,3mm,42.2 x 52.7 Inch,42.2,52.7,1072,1339,6.17,
MRC-MR-1011,3mm,42.2 x 53.7 Inch,42.2,53.7,1072,1364,6.626,
MRC-MR-1012,3mm,42.2 x 54.7 Inch,42.2,54.7,1072,1389,6.732,
MRC-MR-1013,3mm,42.2 x 55.7 Inch,42.2,55.7,1072,1415,6.837,
MRC-MR-1014,3mm,42.2 x 56.7 Inch,42.2,56.7,1072,1440,6.593,
MRC-MR-1015,3mm,42.2 x 57.7 Inch,42.2,57.7,1072,1466,6.699,
MRC-MR-1016,3mm,42.2 x 58.7 Inch,42.2,58.7,1072,1491,6.804,
MRC-MR-1017,3mm,42.2 x 59.7 Inch,42.2,59.7,1072,1516,6.91,
MRC-MR-1018,3mm,42.2 x 60.7 Inch,42.2,60.7,1072,1542,7.016,
MRC-MR-1019,3mm,42.2 x 72.8 Inch,42.2,72.8,1072,1849,8.634,
MRC-MR-1020,3mm,45.5 x 45.5 Inch,45.5,45.5,1156,1156,5.77,
MRC-MR-1021,3mm,45.2 x 65.8 Inch,45.2,65.8,1148,1671,8.035,
MRC-MR-1022,3mm,46.2 x 57.7 Inch,46.2,57.7,1173,1466,7.622,
MRC-MR-1023,3mm,46.2 x 64.8 Inch,46.2,64.8,1173,1646,8.082,
MRC-MR-1024,3mm,46.5 x 68.8 Inch,46.5,68.8,1181,1748,8.545,
MRC-MR-1025,3mm,47 Inch Round Dia,47.0,47.0,1194,1194,,yes
MRC-MR-1026,3mm,48 Inch Round Dia,48.0,48.0,1219,1219,,yes
MRC-MR-1027,3mm,48.2 x 84.8 Inch,48.2,84.8,1224,2154,10.82,
MRC-MR-1028,3mm,48.2 x 96.8 Inch,48.2,96.8,1224,2459,12.619,
MRC-MR-1029,3mm,50.2 x 58.7 Inch,50.2,58.7,1275,1491,7.972,
MRC-MR-1030,3mm,58.2 x 107 Inch,58.2,107.0,1478,2718,16.144,
MRC-MR-1031,3mm,41.4 x 78.3 Inch,41.4,78.3,1052,1989,8.767,
